Genere,Età,Regione,Mezzo_usato_settimanale,Motivo_utilizzo,Interesse_green_mobility,Disposto_pagare_di_piu,Inquinamento_è_problema,Userebbe_mezzo_alternativo,Svantaggi_bicicletta,Vantaggi_bicicletta,La_bici_riduce_inquinamento
Femmina,25-34,Novara,Auto,Comodità,Sì,No,Sì,Dipende,Limitazione dei carichi,Salubrità,No
Femmina,65+,Novara,Auto,Costo,Sì,No,No,No,Limitazione dei carichi,Salubrità,Sì
Maschio,35-44,Torino,Auto,Velocità,No,No,Sì,Sì,Pericolosità,Flessibilità,Sì
Femmina,25-34,Biella,Auto,Comodità,Sì,No,Sì,No,Clima sfavorevole,Salubrità,Sì
Femmina,35-44,Cuneo,Moto,Costo,Sì,Sì,Sì,Sì,Nessuno,Sostenibilità ambientale,No
Maschio,18-24,Vercelli,Moto,Velocità,No,No,Sì,No,Fatica,Salubrità,Sì
Femmina,55-64,Torino,Auto,Comodità,No,Sì,Sì,Sì,Fatica,Economicità,Sì
Femmina,18-24,Novara,Auto,Costo,Sì,No,Sì,Sì,Limitazione dei carichi,Economicità,Sì
Maschio,25-34,Torino,Auto,Velocità,Sì,No,Sì,Dipende,Fatica,Sostenibilità ambientale,No
Femmina,25-34,Torino,Auto,Costo,Sì,No,Non so,Sì,Fatica,Sostenibilità ambientale,Sì
Femmina,55-64,Torino,Bicicletta,Costo,No,No,No,No,Limitazione dei carichi,Salubrità,Sì
Maschio,0-18,Torino,Mezzi pubblici,Costo,Sì,Sì,Sì,Sì,Nessuno,Sostenibilità ambientale,Sì
Maschio,18-24,Torino,Mezzi pubblici,Comodità,Sì,No,Sì,Sì,Nessuno,Flessibilità,Sì
Maschio,55-64,Biella,Auto,Comodità,Sì,Sì,Sì,Dipende,Fatica,Salubrità,Sì
Maschio,25-34,Asti,Bicicletta,Velocità,Sì,No,Sì,Sì,Clima sfavorevole,Sostenibilità ambientale,Sì
Maschio,45-54,Biella,Auto,Comodità,Sì,No,Non so,No,Fatica,Salubrità,Sì
Femmina,35-44,Asti,Camminare,Velocità,Sì,No,Sì,Sì,Limitazione dei carichi,Sostenibilità ambientale,Sì
Maschio,55-64,Novara,Auto,Velocità,Sì,Sì,Sì,No,Clima sfavorevole,Sostenibilità ambientale,Sì
Maschio,55-64,Torino,Mezzi pubblici,Velocità,Sì,Sì,Non so,Sì,Pericolosità,Sostenibilità ambientale,Sì
Femmina,65+,Cuneo,Auto,Velocità,Sì,No,Sì,Sì,Pericolosità,Flessibilità,No
